DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Aug1971,0.34489,1.28272,0.95285,1.00941,0.90271,0.25271,-0.02525,0.12678,0.00304,-0.33095,-0.38397,-0.48026,-0.33484,-0.2709,-0.41438,-0.39353,-0.35336,-0.11713,-0.21826,-0.09925,-0.19629,-0.09961,-0.136,-0.12152,-0.20129,-0.20608,-0.23915,-0.2511,-0.31035,-0.28159,-0.17337,-0.15806,-0.02169,0.04369,0.09799,0.03988,-0.0265,-0.04558,0.00049,0.05147,0.2124,0.28138,0.38379,0.28522,0.2222,0.41458,0.49496,0.48475
Sep1971,9e-04,0.2375,1.01746,0.79985,0.86079,0.81821,0.25266,-0.01906,0.12156,-0.0167,-0.3422,-0.3928,-0.48164,-0.34329,-0.28869,-0.42498,-0.40703,-0.36876,-0.13353,-0.23284,-0.11229,-0.20974,-0.10932,-0.1454,-0.12945,-0.20865,-0.21162,-0.24384,-0.25291,-0.31326,-0.28394,-0.17753,-0.16121,-0.02616,0.03839,0.09172,0.03331,-0.03382,-0.05347,-0.00695,0.04611,0.208,0.27828,0.38068,0.28324,0.22407,0.41454,0.49384
Oct1971,-0.45449,-0.33608,-0.14093,0.55881,0.4341,0.53499,0.52397,0.12272,-0.09657,0.02608,-0.09943,-0.39704,-0.44911,-0.53291,-0.39986,-0.34684,-0.47916,-0.46708,-0.42295,-0.19359,-0.2856,-0.16467,-0.25642,-0.15568,-0.19047,-0.17705,-0.2524,-0.25511,-0.28628,-0.29515,-0.34913,-0.32102,-0.21664,-0.19901,-0.06644,-0.00548,0.04876,-0.00639,-0.0714,-0.09089,-0.04367,0.00739,0.16269,0.23154,0.32976,0.23749,0.18441,0.3696
Nov1971,-0.663,-0.75153,-0.73205,-0.55053,0.03067,-0.03384,0.11545,0.15027,-0.1643,-0.33223,-0.20731,-0.31599,-0.58691,-0.62488,-0.69655,-0.56742,-0.51238,-0.62634,-0.60738,-0.54362,-0.32555,-0.4036,-0.28332,-0.36435,-0.26633,-0.29094,-0.27581,-0.34393,-0.34409,-0.37358,-0.37687,-0.42269,-0.39104,-0.29036,-0.2746,-0.15092,-0.09127,-0.03841,-0.08954,-0.14932,-0.16805,-0.1229,-0.07548,0.07264,0.14065,0.23608,0.1507,0.10405
Dec1971,-0.22494,-0.6116,-0.73222,-0.74235,-0.60811,-0.14409,-0.20597,-0.06839,0.00336,-0.25659,-0.40788,-0.27517,-0.39431,-0.66754,-0.71474,-0.77514,-0.64335,-0.58219,-0.69126,-0.65348,-0.58957,-0.36987,-0.4438,-0.32096,-0.40466,-0.30818,-0.32708,-0.31272,-0.38244,-0.38259,-0.41105,-0.41371,-0.45507,-0.42272,-0.32276,-0.30734,-0.18482,-0.12344,-0.07112,-0.12161,-0.17927,-0.19698,-0.15253,-0.10671,0.03837,0.10646,0.20136,0.11829
Jan1972,0.93815,0.2879,-0.23072,-0.41783,-0.43324,-0.33664,0.07291,-0.00094,0.08952,0.15742,-0.10664,-0.27723,-0.15186,-0.25944,-0.54096,-0.59161,-0.65496,-0.53321,-0.47621,-0.58982,-0.55789,-0.51489,-0.30488,-0.38484,-0.26624,-0.34779,-0.2529,-0.27255,-0.2573,-0.33414,-0.33435,-0.36647,-0.37196,-0.41978,-0.38865,-0.29102,-0.27917,-0.15611,-0.09258,-0.03907,-0.09158,-0.15214,-0.17171,-0.12716,-0.07925,0.06916,0.13836,0.23336
Feb1972,0.77669,1.0104,0.46254,9e-05,-0.16653,-0.19184,-0.11927,0.22107,0.14324,0.20977,0.26222,0.02444,-0.14159,-0.03891,-0.14619,-0.42897,-0.4809,-0.54494,-0.42496,-0.37351,-0.48618,-0.46488,-0.43454,-0.23173,-0.31182,-0.19936,-0.27799,-0.18229,-0.20462,-0.19124,-0.2697,-0.27169,-0.30482,-0.31459,-0.36386,-0.33365,-0.2375,-0.22681,-0.10661,-0.04654,0.00458,-0.04697,-0.10648,-0.1254,-0.08064,-0.03512,0.11062,0.17781
Mar1972,-1.22493,-0.51706,0.03933,-0.19625,-0.45987,-0.56115,-0.54649,-0.46273,-0.13604,-0.19308,-0.10632,-0.04148,-0.24034,-0.37448,-0.27387,-0.34561,-0.57023,-0.62153,-0.68183,-0.57234,-0.52226,-0.61707,-0.58853,-0.55442,-0.37047,-0.43586,-0.33284,-0.40308,-0.30255,-0.32217,-0.30886,-0.38146,-0.38203,-0.41051,-0.41631,-0.45914,-0.42747,-0.33546,-0.32219,-0.21155,-0.15531,-0.10459,-0.15309,-0.20743,-0.22425,-0.18143,-0.13573,0.00474
Apr1972,-0.82452,-1.12547,-0.74743,-0.39231,-0.51016,-0.67568,-0.72799,-0.70629,-0.62334,-0.34516,-0.37807,-0.28941,-0.22578,-0.39726,-0.5028,-0.40925,-0.4648,-0.65358,-0.6967,-0.74445,-0.64843,-0.60359,-0.68129,-0.65662,-0.62363,-0.46211,-0.51714,-0.42286,-0.48201,-0.38713,-0.40321,-0.39232,-0.45862,-0.45767,-0.48292,-0.4868,-0.52238,-0.49259,-0.40881,-0.39495,-0.29211,-0.24063,-0.19145,-0.2365,-0.28563,-0.30046,-0.26007,-0.21763
May1972,-0.32488,-0.72772,-0.99145,-0.72661,-0.45161,-0.5331,-0.67791,-0.71601,-0.70939,-0.63721,-0.38753,-0.41815,-0.33493,-0.27892,-0.43692,-0.535,-0.44818,-0.49426,-0.66952,-0.707,-0.74985,-0.65886,-0.61547,-0.68923,-0.66758,-0.63644,-0.48193,-0.53366,-0.4445,-0.50452,-0.4126,-0.43046,-0.41826,-0.48112,-0.47853,-0.50201,-0.50595,-0.54204,-0.51279,-0.42994,-0.41666,-0.31745,-0.26647,-0.21895,-0.26222,-0.3104,-0.32453,-0.28504
