DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Sep1965,1.10207,0.67923,0.41689,0.19937,-0.6207,-0.7668,-0.69288,-0.86107,0.00592,-0.12875,-0.31708,-0.38225,-0.39799,-0.41485,-0.48047,-0.59309,-0.84522,-0.81163,-0.94985,-0.9226,-1.15529,-0.8388,-0.91184,-0.81542,-0.83722,-0.73637,-0.74371,-0.73978,-0.30161,-0.15401,-0.25881,-0.40547,-0.42604,-0.51915,-0.62881,-0.59877,-0.55901,-0.50946,-0.56477,-0.5325,-0.55458,0.05141,-0.22596,0.09872,0.01752,-0.04469,-0.19812,-0.26179
Oct1965,1.54028,1.56329,1.44385,1.28678,1.11112,0.33198,-0.02784,-0.11125,-0.35693,0.45791,0.32093,0.14374,0.06524,0.04321,0.02089,-0.04897,-0.17299,-0.44376,-0.42427,-0.58622,-0.57085,-0.84112,-0.49881,-0.58749,-0.47804,-0.50246,-0.40467,-0.41708,-0.43183,-0.0063,0.12178,0.00532,-0.15071,-0.16648,-0.2676,-0.38108,-0.35173,-0.31189,-0.26503,-0.31849,-0.29438,-0.32652,0.28163,0.00228,0.31636,0.2333,0.1707,0.01927
Nov1965,-1.42868,0.52405,0.70897,0.64585,0.52433,0.39987,-0.20533,-0.47785,-0.49485,-0.68408,0.08038,-0.06365,-0.23403,-0.29735,-0.31005,-0.31646,-0.37137,-0.46861,-0.69909,-0.66724,-0.80967,-0.78202,-1.02551,-0.70244,-0.78111,-0.68789,-0.70963,-0.61313,-0.62494,-0.62773,-0.20701,-0.07975,-0.17992,-0.32449,-0.3394,-0.42534,-0.53757,-0.50971,-0.46969,-0.42094,-0.47148,-0.44303,-0.46768,0.12155,-0.14143,0.17061,0.08767,0.03026
Dec1965,-1.77186,-1.85633,-0.55307,-0.28041,-0.24309,-0.26811,-0.31234,-0.79916,-0.93297,-0.87923,-1.02677,-0.2824,-0.41762,-0.57926,-0.62895,-0.63454,-0.63252,-0.68294,-0.76372,-0.9659,-0.91667,-1.05114,-1.01033,-1.23139,-0.92056,-0.99047,-0.90299,-0.92238,-0.82513,-0.83557,-0.83242,-0.41689,-0.28832,-0.37939,-0.51271,-0.52913,-0.61012,-0.71521,-0.69022,-0.65128,-0.59892,-0.64574,-0.61094,-0.6262,-0.04431,-0.29586,0.01402,-0.06647
Jan1966,-1.23121,-1.84348,-2.07293,-1.20197,-0.95798,-0.89077,-0.86932,-0.83613,-1.24038,-1.26964,-1.16086,-1.26057,-0.5653,-0.67302,-0.81808,-0.87108,-0.87622,-0.87262,-0.91887,-0.98394,-1.14989,-1.09684,-1.20653,-1.16437,-1.3568,-1.08384,-1.13812,-1.04473,-1.06336,-0.96433,-0.97745,-0.97046,-0.57431,-0.44908,-0.53187,-0.65231,-0.66524,-0.74935,-0.85171,-0.83308,-0.79641,-0.74515,-0.78947,-0.75631,-0.76738,-0.19558,-0.44505,-0.13306
Feb1966,-1.07772,-1.444,-1.79067,-2.16556,-1.60547,-1.40027,-1.33358,-1.30775,-1.23147,-1.58115,-1.5282,-1.37928,-1.46079,-0.80153,-0.88224,-1.02407,-1.08391,-1.08985,-1.08391,-1.12101,-1.17467,-1.31382,-1.25285,-1.34082,-1.28938,-1.46871,-1.2071,-1.25603,-1.17133,-1.18858,-1.09359,-1.10747,-1.09529,-0.71396,-0.59385,-0.66804,-0.77882,-0.79171,-0.87128,-0.96633,-0.9494,-0.91428,-0.8634,-0.90561,-0.86847,-0.8714,-0.31632,-0.5546
Mar1966,-0.16555,-0.76871,-1.19904,-1.67115,-2.12737,-1.47213,-1.29937,-1.2378,-1.22284,-1.16201,-1.43591,-1.45481,-1.34475,-1.43728,-0.83461,-0.91486,-1.04369,-1.096,-1.10214,-1.09635,-1.12877,-1.1705,-1.29432,-1.25446,-1.33691,-1.29472,-1.47025,-1.22638,-1.26939,-1.18332,-1.19936,-1.11142,-1.12357,-1.11189,-0.75928,-0.64872,-0.71728,-0.81872,-0.827,-0.90003,-0.98752,-0.96844,-0.93398,-0.88423,-0.92446,-0.88678,-0.88287,-0.34981
Apr1966,-0.73743,-0.69083,-0.98811,-1.33759,-1.68108,-2.07917,-1.6264,-1.46946,-1.4312,-1.46208,-1.39253,-1.58905,-1.60515,-1.53659,-1.61556,-1.03963,-1.11166,-1.2171,-1.27829,-1.28877,-1.27739,-1.31044,-1.34189,-1.44918,-1.4122,-1.48457,-1.44432,-1.62639,-1.37857,-1.40676,-1.32568,-1.33938,-1.25256,-1.26027,-1.24183,-0.89761,-0.7871,-0.85123,-0.94763,-0.95735,-1.0262,-1.11024,-1.09039,-1.05421,-1.00255,-1.04211,-1.00022,-0.99125
May1966,-0.00941,-0.63519,-0.60554,-0.87972,-1.18721,-1.49543,-1.84743,-1.41416,-1.28951,-1.26708,-1.2847,-1.23696,-1.43559,-1.47465,-1.44518,-1.53186,-1.02053,-1.08765,-1.18771,-1.2377,-1.24914,-1.23925,-1.26805,-1.29887,-1.40699,-1.38326,-1.45608,-1.42151,-1.59456,-1.36039,-1.39418,-1.31819,-1.33181,-1.24715,-1.25252,-1.23611,-0.90436,-0.79852,-0.84842,-0.94369,-0.95109,-1.01717,-1.09478,-1.07392,-1.03767,-0.98683,-1.02738,-0.98656
Jun1966,-1.03992,-0.45736,-0.80615,-0.73497,-0.9667,-1.25468,-1.54284,-1.85331,-1.44779,-1.33411,-1.30906,-1.31958,-1.27037,-1.45509,-1.49811,-1.47573,-1.56009,-1.07103,-1.13315,-1.22744,-1.2745,-1.28612,-1.27396,-1.30185,-1.32931,-1.43068,-1.41024,-1.47593,-1.44435,-1.61608,-1.38963,-1.42034,-1.34524,-1.35691,-1.27252,-1.27772,-1.26048,-0.9365,-0.83143,-0.87953,-0.97221,-0.98055,-1.0447,-1.12117,-1.09976,-1.06351,-1.01228,-1.05128
